Name,Users/1B,Link
GRT,14025.97,https://s2.coinmarketcap.com/static/img/coins/64x64/6719.png
OMG,4738.66,https://s2.coinmarketcap.com/static/img/coins/64x64/1808.png
DGB,36587.61,https://s2.coinmarketcap.com/static/img/coins/64x64/109.png
ONT,18408.82,https://s2.coinmarketcap.com/static/img/coins/64x64/2566.png
CHSB,8367.34,https://s2.coinmarketcap.com/static/img/coins/64x64/2499.png
NANO,97487.83,https://s2.coinmarketcap.com/static/img/coins/64x64/1567.png
BNT,7595.11,https://s2.coinmarketcap.com/static/img/coins/64x64/1727.png
SC,47879.49,https://s2.coinmarketcap.com/static/img/coins/64x64/1042.png
FTM,8529.98,https://s2.coinmarketcap.com/static/img/coins/64x64/3513.png
UMA,316.61,https://s2.coinmarketcap.com/static/img/coins/64x64/5617.png
OKB,10127.84,https://s2.coinmarketcap.com/static/img/coins/64x64/3897.png
ZRX,22104.44,https://s2.coinmarketcap.com/static/img/coins/64x64/1896.png
CELO,4299.71,https://s2.coinmarketcap.com/static/img/coins/64x64/5567.png
RVN,47155.75,https://s2.coinmarketcap.com/static/img/coins/64x64/2577.png
MDX,1688.72,https://s2.coinmarketcap.com/static/img/coins/64x64/8335.png
ANKR,12352.01,https://s2.coinmarketcap.com/static/img/coins/64x64/3783.png
ICX,42633.77,https://s2.coinmarketcap.com/static/img/coins/64x64/2099.png
BAKE,345.46,https://s2.coinmarketcap.com/static/img/coins/64x64/7064.png
FLOW,1568.94,https://s2.coinmarketcap.com/static/img/coins/64x64/4558.png
